Current step: 1
Physical elapsed time: 0.000000000
CPU time: 0.000000000
id     	p[0]     	p[1]     	p[2]     	v[0]     	v[1]     	v[2]     	F[0]     	F[1]     	F[2]
167	0.002575	0.034072	0.005028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
168	0.003202	0.034613	0.006168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
169	0.002433	0.034927	0.008245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
170	0.003163	0.034426	0.009745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
171	0.002980	0.036916	0.003322	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
172	0.002649	0.036586	0.002399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
173	0.002155	0.036143	0.004145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
174	0.002971	0.036586	0.005485	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
175	0.003424	0.037499	0.004114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
176	0.002093	0.037110	0.005206	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
177	0.002538	0.036563	0.007033	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
178	0.002135	0.037089	0.008016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
179	0.002407	0.038037	0.003043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
180	0.002749	0.038526	0.006103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
181	0.003410	0.038805	0.006834	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
182	0.002061	0.038480	0.009686	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
183	0.003245	0.038344	0.009456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
184	0.004747	0.001366	0.001625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
185	0.005438	0.001236	0.003622	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
186	0.004612	0.001717	0.004631	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
187	0.005113	0.001686	0.006535	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
188	0.005898	0.002282	0.003484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
189	0.004307	0.002998	0.002117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
190	0.004134	0.003516	0.004812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
191	0.004195	0.002615	0.004321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
192	0.005181	0.003846	0.005434	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
193	0.004065	0.002158	0.005390	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
194	0.004909	0.002803	0.005294	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
195	0.005328	0.003545	0.006818	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
196	0.004258	0.002494	0.007298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
197	0.005738	0.002567	0.006267	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
198	0.005062	0.002288	0.008697	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
199	0.004702	0.004334	0.002735	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
200	0.004130	0.005423	0.002492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
201	0.005351	0.004569	0.006282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
202	0.004521	0.005211	0.008491	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
203	0.004207	0.006439	0.002064	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
204	0.005452	0.007614	0.003099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
205	0.005156	0.006127	0.004941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
206	0.004057	0.006431	0.004338	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
207	0.005280	0.006010	0.005952	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
208	0.004595	0.006417	0.007094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
209	0.004044	0.007600	0.009290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
210	0.005357	0.009395	0.001331	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
211	0.004297	0.009238	0.002478	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
212	0.004726	0.008414	0.003245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
213	0.004747	0.008311	0.005664	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
214	0.004896	0.008304	0.004478	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
215	0.005459	0.009298	0.007509	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
216	0.004467	0.008963	0.006791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
217	0.005494	0.008548	0.006680	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
218	0.004353	0.008913	0.008330	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
219	0.004811	0.010623	0.003436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
220	0.004000	0.010107	0.004343	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
221	0.005412	0.010321	0.005008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
222	0.004209	0.010316	0.005822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
223	0.004568	0.011745	0.006093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
224	0.004066	0.010400	0.008160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
225	0.004442	0.011513	0.009034	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
226	0.005010	0.010039	0.009432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
227	0.005301	0.012411	0.002135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
228	0.005469	0.013190	0.005013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
229	0.004758	0.012654	0.009224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
230	0.005016	0.012906	0.008050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
231	0.004373	0.015613	0.003283	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
232	0.005417	0.014500	0.002353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
233	0.004048	0.014067	0.002913	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
234	0.005012	0.015489	0.004602	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
235	0.005038	0.014151	0.005099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
236	0.005396	0.015587	0.006866	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
237	0.004420	0.015090	0.008234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
238	0.004427	0.015211	0.009649	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
239	0.004870	0.014208	0.009222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
240	0.004434	0.016976	0.003140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
241	0.005439	0.016661	0.003015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
242	0.004812	0.017045	0.005874	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
243	0.005058	0.016402	0.004071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
244	0.004354	0.016418	0.006859	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
245	0.004988	0.016323	0.009167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
246	0.004296	0.016096	0.008417	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
247	0.004743	0.017053	0.008515	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
248	0.004191	0.016555	0.009983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
249	0.004129	0.018745	0.002585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
250	0.005141	0.018934	0.002162	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
251	0.004773	0.018143	0.004345	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
252	0.004395	0.019388	0.004565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
253	0.004168	0.019265	0.006981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
254	0.004508	0.018209	0.006785	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
255	0.004934	0.019027	0.008387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
256	0.005074	0.018208	0.009966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
257	0.004132	0.020280	0.001917	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
258	0.004610	0.020152	0.002788	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
259	0.004067	0.020681	0.004147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
260	0.004779	0.020413	0.004970	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
261	0.005325	0.020183	0.006555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
262	0.004617	0.021293	0.008228	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
263	0.005283	0.020215	0.008073	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
264	0.005003	0.020507	0.009392	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
265	0.004308	0.022573	0.002136	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
266	0.005132	0.022033	0.002741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
267	0.004948	0.023378	0.003548	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
268	0.005675	0.022757	0.004657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
269	0.004311	0.022809	0.004981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
270	0.004664	0.022768	0.006258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
271	0.004494	0.023880	0.009962	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
272	0.004842	0.022757	0.008048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
273	0.005196	0.023134	0.009569	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
274	0.004148	0.024940	0.001592	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
275	0.005284	0.024311	0.002139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
276	0.004819	0.025471	0.002515	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
277	0.004626	0.025298	0.004125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
278	0.004446	0.024453	0.007015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
279	0.004888	0.025653	0.006051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
280	0.004049	0.025318	0.007526	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
281	0.005077	0.024772	0.009950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
282	0.004413	0.025378	0.009316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
283	0.004936	0.027187	0.002035	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
284	0.005049	0.026241	0.003763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
285	0.004053	0.027022	0.003044	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
286	0.005121	0.027071	0.006504	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
287	0.004065	0.026438	0.008877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
288	0.004381	0.028786	0.002966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
289	0.005085	0.028010	0.005196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
290	0.004255	0.028649	0.006570	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
291	0.004569	0.029110	0.009103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
292	0.005094	0.028469	0.008186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
