Current step: 750
Physical elapsed time: 0.074900000
CPU time: 9.516330000
id     	p[0]     	p[1]     	p[2]     	v[0]     	v[1]     	v[2]     	F[0]     	F[1]     	F[2]
124	0.001570	0.025242	0.001909	0.013535	-0.095021	0.039229	-0.006368	-0.002879	-0.007827
24	0.001136	0.024836	0.001037	0.010699	0.145167	-0.058428	-0.000843	-0.000066	-0.000978
133	0.001973	0.025843	0.001145	-0.051322	0.085043	0.009252	-0.000745	0.004712	-0.000453
291	0.001625	0.024625	0.003797	-0.160381	-0.111370	-0.106727	0.000000	0.000000	-0.000981
143	0.001675	0.025721	0.005361	0.045763	-0.020542	-0.006824	0.000000	0.000000	-0.000981
138	0.001512	0.027176	0.001184	-0.088085	0.144960	0.002169	0.000000	0.000000	-0.000981
27	0.001666	0.026621	0.003331	-0.035990	0.146436	-0.134698	0.000000	0.000000	-0.000981
415	0.001556	0.027613	0.003570	-0.176226	0.044392	-0.030194	0.000000	0.000000	-0.000981
135	0.001109	0.027337	0.005381	0.092531	-0.021582	-0.034786	0.000000	0.000000	-0.000981
31	0.001944	0.026843	0.006898	0.070586	-0.052273	0.059195	0.000000	0.000000	-0.000981
29	0.001221	0.029399	0.001334	0.052363	0.163659	-0.080197	0.000000	0.000000	-0.000981
161	0.001394	0.028687	0.002241	-0.027798	-0.063115	-0.097050	0.000000	0.000000	-0.000981
38	0.001750	0.029839	0.003391	-0.005175	-0.000658	0.146567	0.000000	0.000000	-0.000981
150	0.001738	0.029084	0.005380	0.050390	-0.139467	0.027692	0.000000	0.000000	-0.000981
37	0.001697	0.031614	0.001360	0.125699	-0.176352	-0.036186	0.000000	0.000000	-0.000981
151	0.001739	0.030958	0.002854	-0.040652	-0.042799	-0.013375	0.000000	0.000000	-0.000981
164	0.001137	0.030144	0.005205	0.096997	0.083304	0.009427	0.000000	0.000000	-0.000981
159	0.001506	0.031249	0.007291	-0.037688	-0.025605	0.110513	0.000000	0.000000	-0.000981
308	0.001337	0.033965	0.001118	0.101666	-0.020304	0.051324	0.000000	0.000000	-0.000981
153	0.001984	0.032595	0.001136	-0.093536	0.082836	0.051388	0.000000	0.000000	-0.000981
305	0.001882	0.032228	0.002214	0.038344	0.102968	0.023334	0.000000	0.000000	-0.000981
162	0.001138	0.032760	0.002970	-0.053659	-0.033890	-0.062122	0.000000	0.000000	-0.000981
172	0.001499	0.034965	0.001284	-0.072288	-0.030887	0.041298	0.000000	0.000000	-0.000981
36	0.001994	0.035432	0.003310	0.101895	0.042530	0.003603	0.000000	0.000000	-0.000981
320	0.001107	0.035535	0.002333	-0.113566	-0.008295	-0.130766	0.000000	0.000000	-0.000981
39	0.001439	0.034586	0.002664	0.101666	-0.017918	0.135912	0.000000	0.000000	-0.000981
154	0.001809	0.034073	0.004253	-0.006596	-0.028988	-0.155457	-0.000432	-0.000023	-0.001112
461	0.001215	0.034978	0.006128	-0.065637	-0.029051	-0.010822	0.000000	0.000000	-0.000981
42	0.001177	0.036682	0.001025	0.027303	0.063939	-0.125714	0.000000	0.000000	-0.000981
456	0.001424	0.037623	0.001123	-0.149702	-0.139031	-0.125699	0.000015	0.000038	-0.000757
41	0.001668	0.036369	0.003696	-0.025034	-0.041897	0.059509	0.000000	0.000000	-0.000981
180	0.001513	0.037803	0.002127	0.086481	-0.019936	0.098795	-0.000015	-0.000038	-0.001205
160	0.001899	0.037237	0.004532	0.043609	0.025220	-0.061026	-0.000082	-0.011391	0.001449
166	0.001377	0.036194	0.008201	0.066142	0.073399	0.151410	-0.004206	0.000067	0.001683
326	0.001831	0.038715	0.001256	-0.165728	0.015343	-0.034406	-0.006456	0.002163	-0.011844
173	0.001098	0.038824	0.004486	-0.079822	0.036871	-0.026317	0.000000	0.000000	-0.000981
171	0.001066	0.038750	0.005850	-0.023569	0.067053	-0.009750	0.000000	0.000000	-0.000981
325	0.001905	0.038095	0.004351	0.035664	-0.057781	-0.022420	0.000082	0.011391	-0.003411
186	0.003210	0.001490	0.000955	0.065554	-0.049912	-0.004816	0.000000	0.000000	0.039559
5	0.002024	0.001687	0.003081	0.004176	-0.108865	-0.095920	0.000000	0.000000	-0.000981
190	0.002646	0.000989	0.003737	0.081659	-0.084115	0.006550	0.000000	0.003516	-0.000981
207	0.003966	0.001431	0.005289	-0.033475	-0.088915	0.006058	0.000000	0.000000	-0.000981
202	0.003959	0.001627	0.010273	-0.003361	0.077974	0.149386	0.000000	0.000000	-0.000981
192	0.003994	0.002083	0.001797	-0.056307	-0.087742	0.029623	0.002978	-0.000526	-0.004655
59	0.002550	0.002704	0.001026	-0.029076	0.049116	-0.088251	0.000000	0.000000	-0.000981
44	0.003641	0.003034	0.003288	0.091282	0.039317	-0.055886	0.003008	-0.003892	0.001513
191	0.003404	0.002193	0.002523	0.012259	-0.039819	-0.079790	-0.002978	0.000526	0.002693
